subNb,blockNb,condition,trialNb,trialNbBl,PcommonT,commonT,PrewOr,goalTok,boxPartner,isPartnercorr,tokPartner,isTokGoal,choiceLR,choiceColor,RT,isChoiceCorr,token,outcome,isMiss,chPartnerLR,isOrRew,rewMag
8,2,3,26,6,0.6,0,0.4,2,2,1,1,0,1,1,542,0,1,0,0,0,0,54
8,2,3,27,7,0.6,1,0.4,2,1,0,1,0,1,1,633,0,1,0,0,1,0,46
8,2,3,28,8,0.6,0,0.4,2,2,1,1,0,1,1,512,0,1,45,0,1,1,45
8,2,3,29,9,0.6,0,0.4,2,2,1,1,0,0,1,682,0,1,51,0,0,1,51
8,2,3,30,10,0.6,1,0.4,2,2,1,2,1,1,0,499,1,2,53,0,1,0,53
8,2,3,31,11,0.6,1,0.4,2,2,1,2,1,0,1,557,0,1,0,0,1,0,53
8,2,3,32,12,0.6,0,0.8,1,2,0,1,1,0,0,568,0,2,0,0,1,1,54
8,2,3,33,13,0.6,1,0.8,1,2,0,2,0,0,1,504,1,1,47,0,1,1,47
8,2,3,34,14,0.6,1,0.8,1,2,0,2,0,1,1,527,1,1,51,0,1,1,51
8,2,3,35,15,0.6,0,0.8,1,2,0,1,1,0,1,821,1,1,0,0,0,0,53
8,2,3,36,16,0.6,0,0.8,1,2,0,1,1,0,1,491,1,1,48,0,0,1,48
8,2,3,37,17,0.6,1,0.8,1,2,0,2,0,1,0,646,0,2,0,0,1,1,45
8,2,3,38,18,0.6,1,0.8,1,2,0,2,0,1,0,521,0,2,0,0,0,1,55
8,2,3,39,19,0.6,0,0.8,1,1,1,2,0,0,0,944,0,2,0,0,1,1,50
8,2,3,40,20,0.6,1,0.8,1,1,1,1,1,0,1,728,1,1,0,0,0,0,47
8,3,1,41,1,0.8,1,0.6,1,2,0,2,0,0,0,657,0,2,0,0,1,1,48
8,3,1,42,2,0.8,1,0.6,1,1,1,1,1,1,1,766,1,1,53,0,0,1,53
8,3,1,43,3,0.8,1,0.6,1,1,1,1,1,1,1,608,1,1,0,0,1,0,54
8,3,1,44,4,0.8,1,0.6,1,1,1,1,1,0,1,771,1,1,48,0,1,1,48
8,3,1,45,5,0.8,1,0.6,1,1,1,1,1,0,1,500,1,1,0,0,1,0,49
8,3,1,46,6,0.8,1,0.6,1,1,1,1,1,0,1,666,1,1,0,0,1,0,51
8,3,1,47,7,0.8,1,0.6,1,1,1,1,1,1,1,563,1,1,48,0,1,1,48
8,3,1,48,8,0.8,1,0.6,1,1,1,1,1,1,1,555,1,1,54,0,0,1,54
8,3,1,49,9,0.8,0,0.6,1,1,1,2,0,1,0,550,0,2,0,0,1,1,45
8,3,1,50,10,0.8,0,0.6,1,1,1,2,0,1,0,592,0,2,0,0,0,1,55
8,3,1,51,11,0.8,0,0.6,1,2,0,1,1,0,1,626,1,1,51,0,1,1,51
8,3,1,52,12,0.8,1,0.6,1,2,0,2,0,0,0,480,0,2,53,0,0,0,53
8,3,1,53,13,0.8,1,0.2,2,1,0,1,0,0,1,538,0,1,0,0,1,0,53
8,3,1,54,14,0.8,1,0.2,2,2,1,2,1,0,0,557,1,2,0,0,0,1,46
8,3,1,55,15,0.8,1,0.2,2,2,1,2,1,1,0,660,1,2,0,0,0,1,46
8,3,1,56,16,0.8,0,0.2,2,2,1,1,0,1,1,558,0,1,0,0,0,0,46
8,3,1,57,17,0.8,1,0.2,2,2,1,2,1,1,0,702,1,2,48,0,1,0,48
8,3,1,58,18,0.8,1,0.2,2,2,1,2,1,1,0,701,1,2,53,0,0,0,53
8,3,1,59,19,0.8,1,0.2,2,2,1,2,1,0,0,708,1,2,55,0,0,0,55
8,3,1,60,20,0.8,1,0.2,2,2,1,2,1,1,0,537,1,2,51,0,1,0,51
8,4,2,61,1,0.8,1,0.4,2,2,1,2,1,0,0,1095,1,2,68,0,1,0,68
8,4,2,62,2,0.8,1,0.4,2,2,1,2,1,0,0,801,1,2,0,0,0,1,34
8,4,2,63,3,0.8,1,0.4,2,2,1,2,1,1,0,566,1,2,7,0,0,0,7
8,4,2,64,4,0.8,1,0.4,2,2,1,2,1,1,0,729,1,2,0,0,0,1,24
8,4,2,65,5,0.8,1,0.4,2,2,1,2,1,1,0,484,1,2,0,0,1,1,5
8,4,2,66,6,0.8,1,0.4,2,2,1,2,1,0,0,551,1,2,21,0,1,0,21
8,4,2,67,7,0.8,0,0.4,2,2,1,1,0,0,1,602,0,1,55,0,1,1,55
8,4,2,68,8,0.8,1,0.4,2,1,0,1,0,1,1,864,0,1,0,0,1,0,17
8,4,2,69,9,0.8,0,0.4,2,1,0,2,1,0,0,597,1,2,77,0,0,0,77
8,4,2,70,10,0.8,1,0.4,2,1,0,1,0,0,1,727,0,1,0,0,0,0,38
8,4,2,71,11,0.8,1,0.4,2,2,1,2,1,0,0,648,1,2,52,0,1,0,52
8,4,2,72,12,0.8,1,0.4,2,2,1,2,1,0,0,541,1,2,0,0,0,1,82
8,4,2,73,13,0.8,1,0.8,1,2,0,2,0,1,0,629,0,2,0,0,1,1,59
8,4,2,74,14,0.8,1,0.8,1,1,1,1,1,0,1,554,1,1,87,0,0,1,87
8,4,2,75,15,0.8,0,0.8,1,1,1,2,0,1,1,1351,1,1,27,0,0,1,27
8,4,2,76,16,0.8,0,0.8,1,2,0,1,1,0,1,701,1,1,96,0,1,1,96
8,4,2,77,17,0.8,1,0.8,1,2,0,2,0,0,0,558,0,2,0,0,0,1,72
8,4,2,78,18,0.8,1,0.8,1,1,1,1,1,1,1,493,1,1,12,0,0,1,12
8,4,2,79,19,0.8,1,0.8,1,1,1,1,1,1,1,690,1,1,0,0,1,0,91
8,4,2,80,20,0.8,1,0.8,1,1,1,1,1,1,1,567,1,1,81,0,1,1,81
8,5,4,81,1,0.6,1,0.4,2,2,1,2,1,0,0,531,1,2,52,0,0,0,52
8,5,4,82,2,0.6,1,0.4,2,2,1,2,1,1,0,955,1,2,70,0,0,0,70
8,5,4,83,3,0.6,0,0.4,2,2,1,1,0,0,1,560,0,1,82,0,1,1,82
8,5,4,84,4,0.6,0,0.4,2,1,0,2,1,0,0,620,1,2,0,0,1,1,77
8,5,4,85,5,0.6,0,0.4,2,1,0,2,1,1,0,806,1,2,97,0,0,0,97
8,5,4,86,6,0.6,1,0.4,2,1,0,1,0,0,1,677,0,1,82,0,0,1,82
8,5,4,87,7,0.6,1,0.4,2,2,1,2,1,1,1,662,0,1,0,0,1,0,46
8,5,4,88,8,0.6,1,0.4,2,2,1,2,1,1,0,615,1,2,63,0,0,0,63
8,5,4,89,9,0.6,1,0.4,2,2,1,2,1,1,0,582,1,2,18,0,0,0,18
8,5,4,90,10,0.6,0,0.8,1,2,0,1,1,1,1,724,1,1,17,0,1,1,17
8,5,4,91,11,0.6,1,0.8,1,2,0,2,0,0,1,945,1,1,0,0,0,0,29
8,5,4,92,12,0.6,1,0.8,1,2,0,2,0,1,1,614,1,1,86,0,1,1,86
8,5,4,93,13,0.6,0,0.8,1,2,0,1,1,0,1,837,1,1,92,0,0,1,92
8,5,4,94,14,0.6,0,0.8,1,2,0,1,1,0,1,504,1,1,40,0,1,1,40
8,5,4,95,15,0.6,1,0.8,1,2,0,2,0,1,1,782,1,1,0,0,1,0,2
8,5,4,96,16,0.6,1,0.8,1,2,0,2,0,0,1,628,1,1,13,0,1,1,13
8,5,4,97,17,0.6,0,0.8,1,1,1,2,0,0,0,611,0,2,0,0,1,1,66
8,5,4,98,18,0.6,1,0.8,1,1,1,1,1,0,1,673,1,1,34,0,1,1,34
8,5,4,99,19,0.6,1,0.8,1,1,1,1,1,0,1,592,1,1,10,0,1,1,10
8,5,4,100,20,0.6,0,0.8,1,1,1,2,0,0,0,732,0,2,0,0,0,1,26
8,6,3,101,1,0.6,1,0.6,1,2,0,2,0,1,0,529,0,2,0,0,0,1,46
8,6,3,102,2,0.6,1,0.6,1,1,1,1,1,0,1,539,1,1,49,0,1,1,49
8,6,3,103,3,0.6,1,0.6,1,1,1,1,1,1,1,609,1,1,52,0,0,1,52
8,6,3,104,4,0.6,0,0.6,1,1,1,2,0,1,0,508,0,2,0,0,0,1,53
8,6,3,105,5,0.6,0,0.6,1,2,0,1,1,1,1,523,1,1,0,0,0,0,53
8,6,3,106,6,0.6,0,0.6,1,2,0,1,1,1,1,486,1,1,0,0,1,0,54
8,6,3,107,7,0.6,1,0.6,1,2,0,2,0,0,0,637,0,2,49,0,0,0,49
8,6,3,108,8,0.6,0,0.6,1,2,0,1,1,0,1,522,1,1,0,0,0,0,53
8,6,3,109,9,0.6,1,0.2,2,2,1,2,1,0,0,572,1,2,55,0,1,0,55
8,6,3,110,10,0.6,1,0.2,2,2,1,2,1,0,0,794,1,2,49,0,0,0,49
8,6,3,111,11,0.6,1,0.2,2,2,1,2,1,1,0,579,1,2,45,0,1,0,45
8,6,3,112,12,0.6,1,0.2,2,2,1,2,1,0,0,597,1,2,48,0,1,0,48
8,6,3,113,13,0.6,1,0.2,2,2,1,2,1,0,1,580,0,1,0,0,1,0,51
8,6,3,114,14,0.6,0,0.2,2,2,1,1,0,0,0,836,1,2,54,0,0,0,54
8,6,3,115,15,0.6,1,0.2,2,1,0,1,0,1,0,570,1,2,47,0,0,0,47
8,6,3,116,16,0.6,1,0.2,2,2,1,2,1,0,0,479,1,2,46,0,1,0,46
8,6,3,117,17,0.6,0,0.2,2,2,1,1,0,1,1,521,0,1,45,0,1,1,45
8,6,3,118,18,0.6,0,0.2,2,2,1,1,0,1,1,859,0,1,0,0,0,0,47
8,6,3,119,19,0.6,1,0.2,2,2,1,2,1,1,0,684,1,2,54,0,1,0,54
8,6,3,120,20,0.6,0,0.2,2,2,1,1,0,0,1,705,0,1,0,0,1,0,48
8,7,1,121,1,0.8,0,0.4,2,1,0,2,1,1,0,705,1,2,53,0,0,0,53
8,7,1,122,2,0.8,1,0.4,2,1,0,1,0,1,1,953,0,1,55,0,0,1,55
8,7,1,123,3,0.8,0,0.4,2,2,1,1,0,1,1,789,0,1,55,0,1,1,55
8,7,1,124,4,0.8,1,0.4,2,2,1,2,1,1,1,702,0,1,0,0,0,0,54
8,7,1,125,5,0.8,1,0.4,2,2,1,2,1,1,1,1028,0,1,0,0,0,0,47
8,7,1,126,6,0.8,1,0.4,2,2,1,2,1,0,0,546,1,2,49,0,0,0,49
8,7,1,127,7,0.8,1,0.4,2,2,1,2,1,0,0,540,1,2,0,0,1,1,46
8,7,1,128,8,0.8,1,0.4,2,2,1,2,1,0,0,1310,1,2,0,0,0,1,45
8,7,1,129,9,0.8,1,0.4,2,2,1,2,1,1,0,740,1,2,0,0,0,1,54
8,7,1,130,10,0.8,1,0.4,2,2,1,2,1,1,0,578,1,2,46,0,1,0,46
8,7,1,131,11,0.8,1,0.4,2,2,1,2,1,1,0,515,1,2,53,0,1,0,53
8,7,1,132,12,0.8,1,0.8,1,2,0,2,0,0,0,649,0,2,0,0,0,1,51
8,7,1,133,13,0.8,1,0.8,1,1,1,1,1,0,1,546,1,1,0,0,1,0,48
8,7,1,134,14,0.8,1,0.8,1,1,1,1,1,1,1,580,1,1,0,0,0,0,46
8,7,1,135,15,0.8,1,0.8,1,1,1,1,1,1,1,987,1,1,47,0,0,1,47
8,7,1,136,16,0.8,1,0.8,1,1,1,1,1,0,1,660,1,1,53,0,0,1,53
8,7,1,137,17,0.8,1,0.8,1,1,1,1,1,1,1,634,1,1,49,0,1,1,49
8,7,1,138,18,0.8,0,0.8,1,1,1,2,0,1,0,526,0,2,0,0,0,1,53
8,7,1,139,19,0.8,0,0.8,1,2,0,1,1,1,1,1145,1,1,50,0,1,1,50
8,7,1,140,20,0.8,1,0.8,1,2,0,2,0,0,0,531,0,2,0,0,1,1,47
8,8,2,141,1,0.8,1,0.6,1,2,0,2,0,0,0,518,0,2,5,0,1,0,5
8,8,2,142,2,0.8,1,0.6,1,1,1,1,1,1,1,596,1,1,34,0,1,1,34
8,8,2,143,3,0.8,1,0.6,1,1,1,1,1,0,1,696,1,1,20,0,0,1,20
8,8,2,144,4,0.8,1,0.6,1,1,1,1,1,1,0,804,0,2,0,0,1,1,79
8,8,2,145,5,0.8,1,0.6,1,1,1,1,1,0,1,683,1,1,75,0,1,1,75
8,8,2,146,6,0.8,0,0.6,1,1,1,2,0,0,1,561,1,1,0,0,1,0,25
8,8,2,147,7,0.8,1,0.6,1,1,1,1,1,1,0,539,0,2,0,0,1,1,27
8,8,2,148,8,0.8,0,0.6,1,1,1,2,0,0,1,652,1,1,48,0,1,1,48
8,8,2,149,9,0.8,1,0.2,2,2,1,2,1,1,1,708,0,1,85,0,0,1,85
8,8,2,150,10,0.8,1,0.2,2,2,1,2,1,1,0,1018,1,2,48,0,1,0,48
8,8,2,151,11,0.8,1,0.2,2,2,1,2,1,0,1,509,0,1,0,0,0,0,71
8,8,2,152,12,0.8,1,0.2,2,2,1,2,1,1,1,1147,0,1,0,0,0,0,66
8,8,2,153,13,0.8,1,0.2,2,2,1,2,1,0,1,878,0,1,0,0,1,0,80
8,8,2,154,14,0.8,1,0.2,2,2,1,2,1,1,1,513,0,1,0,0,0,0,62
8,8,2,155,15,0.8,1,0.2,2,2,1,2,1,0,1,517,0,1,0,0,1,0,7
8,8,2,156,16,0.8,1,0.2,2,2,1,2,1,1,1,511,0,1,0,0,0,0,21
8,8,2,157,17,0.8,0,0.2,2,2,1,1,0,1,0,687,1,2,0,0,1,1,14
8,8,2,158,18,0.8,0,0.2,2,1,0,2,1,0,1,942,0,1,96,0,0,1,96
8,8,2,159,19,0.8,1,0.2,2,1,0,1,0,0,0,663,1,2,90,0,0,0,90
8,8,2,160,20,0.8,1,0.2,2,2,1,2,1,0,1,520,0,1,0,0,0,0,41
9,1,1,1,1,0.8,1,0.4,2,2,1,2,1,1,0,830.55,1,2,0,0,0,1,51
9,1,1,2,2,0.8,1,0.4,2,2,1,2,1,0,0,728.695,1,2,54,0,1,0,54
9,1,1,3,3,0.8,1,0.4,2,2,1,2,1,0,0,615.635,1,2,0,0,0,1,46
9,1,1,4,4,0.8,0,0.4,2,2,1,1,0,0,1,669.36,0,1,0,0,1,0,49
9,1,1,5,5,0.8,1,0.4,2,1,0,1,0,0,0,536.705,1,2,50,0,1,0,50
9,1,1,6,6,0.8,1,0.4,2,2,1,2,1,0,0,626.375,1,2,0,0,0,1,51
9,1,1,7,7,0.8,1,0.4,2,2,1,2,1,0,1,679.69,0,1,0,0,1,0,46
9,1,1,8,8,0.8,1,0.4,2,2,1,2,1,0,0,584.36,1,2,52,0,0,0,52
9,1,1,9,9,0.8,0,0.4,2,2,1,1,0,0,0,773.955,1,2,0,0,0,1,45
