study,subNb,uniqueID,IRV_STAI_State,IRV_STAI_State_z,IRV_STAI_Trait,IRV_STAI_Trait_z,IRV_SRS,IRV_SRS_z,SHR,SHR_z,Syn,Syn_z,Ant,Ant_z,BDI_Q1,LSAS_Q1,IRV_avg,catchQ_BDI,catchQ_SRS,catchQ_STAI,catchQ_Total,catchQ_Acc,excluded_catchQs,excluded_IRV_STAI_State,excluded_IRV_STAI_Trait,excluded_IRV_SRS,excluded_IRV_avg,excluded_SHR,excluded_Syn,excluded_Ant,excluded_na,excluded,excluded2
2,365,491,0.74515982,-0.695782873,0.820782682,-0.134315283,0.819826436,0.056887623,0.985157628,0.590338385,0.450779406,-1.649551572,-0.411610505,0.228047967,1,1,-0.257736844,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,366,492,0.966545667,0.101766019,0.998683344,0.504921737,0.829735825,0.111885027,0.970953565,-0.177474884,0.773903148,0.353638489,-0.544935683,-0.212962374,1,0,0.239524261,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,367,493,0.686332741,-0.907709121,0.894427191,0.130305973,1.015031261,1.14028023,0.976929042,0.14553486,0.475005634,-1.499362236,-0.015326683,1.538867619,1,0,0.120959028,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,368,494,1.353358396,1.495270021,0.827170192,-0.111363525,0.66614563,-0.796045436,0.970386788,-0.208112497,0.879827699,1.010312639,-0.604421208,-0.409727395,1,1,0.195953687,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,369,495,1.460893742,1.882669206,1.031095483,0.621385829,1.066987131,1.428636859,0.97783611,0.194567205,0.937560454,1.368224071,-0.805959361,-1.076371244,0,0,1.310897298,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,370,496,1.136708082,0.714781022,1.050062655,0.689539136,0.860456051,0.282383199,0.985685601,0.618878441,0.689848448,-0.167454569,-0.58471953,-0.344558581,0,2,0.562234453,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,371,497,0.988086934,0.179369055,0.820782682,-0.134315283,0.882522608,0.404853251,0.96214062,-0.653866447,0.699969371,-0.104710397,-0.173251844,1.016485951,1,1,0.149969008,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,372,498,0.858395075,-0.287849604,0.864504726,0.022787838,0.794512429,-0.083605869,0.978074683,0.207463519,0.802513326,0.531005909,-0.70710797,-0.749392601,1,1,-0.116222545,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,373,499,0.833508753,-0.377503295,0.587142949,-0.973835298,0.711512474,-0.544258099,0.976380932,0.115906303,0.69740302,-0.120620367,-0.199850686,0.928502834,1,1,-0.631865564,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,374,500,1.332784975,1.42115368,0.966545667,0.389443849,0.664338885,-0.806072924,0.9854054,0.603731894,0.879898738,1.010753044,-0.7953819,-1.04138333,0,0,0.334841535,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,375,501,0.994722918,0.203275379,1.099042646,0.86553524,0.810685844,0.006157069,0.959880004,-0.776066028,0.812049071,0.590122303,-0.783812897,-1.003115615,0,0,0.358322563,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,376,502,1.128576187,0.685485638,1,0.509652778,0.750640752,-0.327094986,0.971551957,-0.145128237,0.814403219,0.604716728,-0.80425873,-1.07074593,0,2,0.28934781,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,377,503,1.164157703,0.813669074,0.97872097,0.433192445,0.830604506,0.116706238,0.970219109,-0.217176546,0.918987546,1.25308222,-0.836412018,-1.17710193,0,0,0.454522586,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,378,504,0.695852374,-0.873414369,0.640723276,-0.781309154,0.729528299,-0.444269732,0.969339211,-0.264740174,0.653596335,-0.392197796,-0.014721531,1.540869328,0,1,-0.699664419,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,379,505,0.87509398,-0.227691319,0.598243042,-0.933950172,0.689899658,-0.664209868,0.980090344,0.316421861,0.715528747,-0.008250795,-0.53846495,-0.191558611,0,0,-0.60861712,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,380,506,1.039989878,0.366350908,0.944513241,0.310276397,0.864080214,0.302497411,0.968226066,-0.32491222,0.700227953,-0.103107328,-0.582928259,-0.338633452,0,2,0.326374905,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,381,507,0.825577947,-0.406074252,0.76088591,-0.34953783,0.866025404,0.313293275,0.977645451,0.184260972,0.67775167,-0.242447964,-0.02381164,1.510801248,0,1,-0.147439603,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,382,508,1.039989878,0.366350908,0.988086934,0.466846458,0.609618418,-1.109773148,0.977807288,0.193009219,0.747533757,0.190162723,-0.79523331,-1.040891826,0,2,-0.092191928,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
